法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行
法律,昭和二十一年法律第二十五号,労働関係調整法,ろうどうかんけいちょうせいほう,,昭和二十一年九月二十七日,行政不服審査法の施行に伴う関係法律の整備等に関する法律,平成二十六年法律第六十九号,平成二十六年六月十三日,平成二十八年四月一日,,321AC0000000025,https://laws.e-gov.go.jp/law/321AC0000000025/20160401_426AC0000000069,
勅令,昭和二十一年勅令第四百七十八号,労働関係調整法施行令,ろうどうかんけいちょうせいほうせこうれい,,昭和二十一年十月十二日,,平成二十年政令第二百三十一号,平成二十年七月十八日,平成二十年十月一日,,321IO0000000478,https://laws.e-gov.go.jp/law/321IO0000000478/20081001_420CO0000000231,
法律,昭和二十二年法律第四十九号,労働基準法,ろうどうきじゅんほう,,昭和二十二年四月七日,労働者災害補償保険法等の一部を改正する法律,令和八年法律第六十号,令和八年七月十七日,令和八年七月十七日,,322AC0000000049,https://laws.e-gov.go.jp/law/322AC0000000049/20260717_508AC0000000060,
法律,昭和二十二年法律第四十九号,労働基準法,ろうどうきじゅんほう,,昭和二十二年四月七日,労働者災害補償保険法等の一部を改正する法律,令和八年法律第六十号,令和八年七月十七日,令和九年四月一日,,322AC0000000049,https://laws.e-gov.go.jp/law/322AC0000000049/20270401_508AC0000000060,○
法律,昭和二十二年法律第四十九号,労働基準法,ろうどうきじゅんほう,,昭和二十二年四月七日,民法等の一部を改正する法律の施行に伴う関係法律の整備等に関する法律,令和八年法律第四十六号,令和八年六月二十四日,令和十年十二月二十三日,民法等の一部を改正する法律（令和八年法律第四十五号）の施行の日,322AC0000000049,https://laws.e-gov.go.jp/law/322AC0000000049/20281223_508AC0000000046,○
法律,昭和二十二年法律第五十号,労働者災害補償保険法,ろうどうしゃさいがいほしょうほけんほう,,昭和二十二年四月七日,労働者災害補償保険法等の一部を改正する法律,令和八年法律第六十号,令和八年七月十七日,令和八年七月十七日,,322AC0000000050,https://laws.e-gov.go.jp/law/322AC0000000050/20260717_508AC0000000060,
法律,昭和二十二年法律第五十号,労働者災害補償保険法,ろうどうしゃさいがいほしょうほけんほう,,昭和二十二年四月七日,労働者災害補償保険法等の一部を改正する法律,令和八年法律第六十号,令和八年七月十七日,令和九年四月一日,,322AC0000000050,https://laws.e-gov.go.jp/law/322AC0000000050/20270401_508AC0000000060,○
法律,昭和二十二年法律第五十号,労働者災害補償保険法,ろうどうしゃさいがいほしょうほけんほう,,昭和二十二年四月七日,労働者災害補償保険法等の一部を改正する法律,令和八年法律第六十号,令和八年七月十七日,令和十三年七月十六日,公布の日から起算して五年を超えない範囲内において政令で定める日,322AC0000000050,https://laws.e-gov.go.jp/law/322AC0000000050/20310716_508AC0000000060,○
法律,昭和二十二年法律第百四十一号,職業安定法,しょくぎょうあんていほう,,昭和二十二年十一月三十日,学校教育法の一部を改正する法律,令和六年法律第五十号,令和六年六月十四日,令和八年四月一日,,322AC0000000141,https://laws.e-gov.go.jp/law/322AC0000000141/20260401_506AC0000000050,
政令,昭和二十二年政令第百七十四号,労働基準監督機関令,ろうどうきじゅんかんとくきかんれい,,昭和二十二年八月三十一日,,平成十八年政令第十四号,平成十八年二月一日,平成十八年四月一日,,322CO0000000174,https://laws.e-gov.go.jp/law/322CO0000000174/20060401_418CO0000000014,
府省令,昭和二十二年厚生省令第二十三号,労働基準法施行規則,ろうどうきじゅんほうしこうきそく,,昭和二十二年八月三十日,労働者災害補償保険法施行規則等の一部を改正する省令,令和八年厚生労働省令第五十七号,令和八年三月三十一日,令和八年四月一日,,322M40000100023,https://laws.e-gov.go.jp/law/322M40000100023/20260401_508M60000100057,
府省令,昭和二十二年厚生省令第二十三号,労働基準法施行規則,ろうどうきじゅんほうしこうきそく,,昭和二十二年八月三十日,労働安全衛生規則等の一部を改正する省令,令和八年厚生労働省令第八十九号,令和八年四月二十八日,令和九年四月一日,,322M40000100023,https://laws.e-gov.go.jp/law/322M40000100023/20270401_508M60000100089,○
府省令,昭和二十二年労働省令第七号,事業附属寄宿舎規程,じぎょうふぞくきしゅくしゃきてい,,昭和二十二年十月三十一日,地域の自主性及び自立性を高めるための改革の推進を図るための関係法律の整備に関する法律の施行に伴う厚生労働省関係省令の整備に関する省令,令和六年厚生労働省令第百六十四号,令和六年十二月二十七日,令和七年四月一日,,322M40002000007,https://laws.e-gov.go.jp/law/322M40002000007/20250401_506M60000100164,
府省令,昭和二十二年労働省令第十二号,職業安定法施行規則,しょくぎょうあんていほうしこうきそく,,昭和二十二年十二月二十九日,職業安定法施行規則の一部を改正する省令,令和八年厚生労働省令第六十号,令和八年三月三十一日,令和八年四月一日,,322M40002000012,https://laws.e-gov.go.jp/law/322M40002000012/20260401_508M60000100060,
府省令,昭和二十二年労働省令第十二号,職業安定法施行規則,しょくぎょうあんていほうしこうきそく,,昭和二十二年十二月二十九日,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律等の一部を改正する法律の施行に伴う厚生労働省関係省令の整備に関する省令,令和八年厚生労働省令第十八号,令和八年二月二十六日,令和八年十月一日,,322M40002000012,https://laws.e-gov.go.jp/law/322M40002000012/20261001_508M60000100018,○
法律,昭和二十三年法律第百三十号,船員職業安定法,せんいんしょくぎょうあんていほう,,昭和二十三年七月十日,船員法等の一部を改正する法律,令和七年法律第三十二号,令和七年五月十四日,令和八年五月十三日,,323AC0000000130,https://laws.e-gov.go.jp/law/323AC0000000130/20260513_507AC0000000032,
法律,昭和二十三年法律第百三十号,船員職業安定法,せんいんしょくぎょうあんていほう,,昭和二十三年七月十日,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律等の一部を改正する法律,令和七年法律第六十三号,令和七年六月十一日,令和八年十月一日,,323AC0000000130,https://laws.e-gov.go.jp/law/323AC0000000130/20261001_507AC0000000063,○
法律,昭和二十三年法律第二百五十七号,行政執行法人の労働関係に関する法律,ぎょうせいしっこうほうじんのろうどうかんけいにかんするほうりつ,,昭和二十三年十二月二十日,国家公務員法等の一部を改正する法律,令和三年法律第六十一号,令和三年六月十一日,令和五年四月一日,,323AC0000000257,https://laws.e-gov.go.jp/law/323AC0000000257/20230401_503AC0000000061,
府省令,昭和二十三年運輸省令第三十二号,船員職業安定法施行規則,せんいんしょくぎょうあんていほうしこうきそく,,昭和二十三年十一月十日,特定漁船員の労働時間、休日及び定員に関する政令施行規則,令和八年国土交通省令第五十四号,令和八年四月三十日,令和八年五月十三日,,323M40000800032,https://laws.e-gov.go.jp/law/323M40000800032/20260513_508M60000800054,
法律,昭和二十四年法律第八十三号,公共企業体労働関係法の施行に関する法律,こうきょうきぎょうたいろうどうかんけいほうのしこうにかんするほうりつ,,昭和二十四年五月十九日,,昭和二十七年法律第二百八十八号,昭和二十七年七月三十一日,昭和二十七年八月一日,,324AC0000000083,https://laws.e-gov.go.jp/law/324AC0000000083/19520801_327AC0000000288,
法律,昭和二十四年法律第百七十四号,労働組合法,ろうどうくみあいほう,,昭和二十四年六月一日,民法等の一部を改正する法律の施行に伴う関係法律の整備等に関する法律,令和八年法律第四十六号,令和八年六月二十四日,令和八年六月二十四日,,324AC0000000174,https://laws.e-gov.go.jp/law/324AC0000000174/20260624_508AC0000000046,
法律,昭和二十四年法律第百七十四号,労働組合法,ろうどうくみあいほう,,昭和二十四年六月一日,民事関係手続等における情報通信技術の活用等の推進を図るための関係法律の整備に関する法律,令和五年法律第五十三号,令和五年六月十四日,令和十年六月十三日,公布の日から起算して五年を超えない範囲内において政令で定める日,324AC0000000174,https://laws.e-gov.go.jp/law/324AC0000000174/20280613_505AC0000000053,○
法律,昭和二十四年法律第百七十四号,労働組合法,ろうどうくみあいほう,,昭和二十四年六月一日,民法等の一部を改正する法律の施行に伴う関係法律の整備等に関する法律,令和八年法律第四十六号,令和八年六月二十四日,令和十年十二月二十三日,民法等の一部を改正する法律（令和八年法律第四十五号）の施行の日,324AC0000000174,https://laws.e-gov.go.jp/law/324AC0000000174/20281223_508AC0000000046,○
政令,昭和二十四年政令第二百三十一号,労働組合法施行令,ろうどうくみあいほうしこうれい,,昭和二十四年六月二十九日,労働組合法施行令の一部を改正する政令,令和八年政令第百四十六号,令和八年四月二十四日,令和八年五月二十一日,,324CO0000000231,https://laws.e-gov.go.jp/law/324CO0000000231/20260521_508CO0000000146,
規則,昭和二十四年中央労働委員会規則第一号,労働委員会規則,ろうどういいんかいきそく,,昭和二十四年八月四日,労働委員会規則の一部を改正する規則,令和八年中央労働委員会規則第一号,令和八年四月二十四日,令和八年五月二十一日,,324M50100000001,https://laws.e-gov.go.jp/law/324M50100000001/20260521_508M60100000001,
法律,昭和二十七年法律第二百八十九号,地方公営企業等の労働関係に関する法律,ちほうこうえいきぎょうとうのろうどうかんけいにかんするほうりつ,,昭和二十七年七月三十一日,行政不服審査法の施行に伴う関係法律の整備等に関する法律,平成二十六年法律第六十九号,平成二十六年六月十三日,平成二十八年四月一日,,327AC0000000289,https://laws.e-gov.go.jp/law/327AC0000000289/20160401_426AC0000000069,
府省令,昭和二十七年労働省令第二十四号,労働基準法第十八条第四項の規定に基づき使用者が労働者の預金を受け入れる場合の利率を定める省令,ろうどうきじゅんほうだいじゅうはちじょうだいよんこうのきていにもとづきしようしゃがろうどうしゃのよきんをうけいれるばあいのりりつをさだめるしょうれい,,昭和二十七年八月三十一日,,平成十二年労働省令第四十三号,平成十二年十二月十四日,平成十三年四月一日,,327M50002000024,https://laws.e-gov.go.jp/law/327M50002000024/20010401_412M50002000043,
法律,昭和二十八年法律第百七十一号,電気事業及び石炭鉱業における争議行為の方法の規制に関する法律,でんきじぎょうおよびせきたんこうぎょうにおけるそうぎこういのほうほうのきせいにかんするほうりつ,,昭和二十八年八月七日,電気事業法等の一部を改正する法律,平成二十六年法律第七十二号,平成二十六年六月十八日,平成二十八年四月一日,,328AC0000000171,https://laws.e-gov.go.jp/law/328AC0000000171/20160401_426AC0000000072,
政令,昭和二十八年政令第二百四十二号,職業安定法施行令,しょくぎょうあんていほうしこうれい,,昭和二十八年八月三十一日,育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律及び次世代育成支援対策推進法の一部を改正する法律の一部の施行に伴う関係政令の整備に関する政令,令和七年政令第百九十九号,令和七年五月三十日,令和七年十月一日,,328CO0000000242,https://laws.e-gov.go.jp/law/328CO0000000242/20251001_507CO0000000199,
政令,昭和二十八年政令第二百四十二号,職業安定法施行令,しょくぎょうあんていほうしこうれい,,昭和二十八年八月三十一日,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律等の一部を改正する法律の施行に伴う関係政令の整備に関する政令,令和八年政令第百八十一号,令和八年五月二十七日,令和八年十月一日,,328CO0000000242,https://laws.e-gov.go.jp/law/328CO0000000242/20261001_508CO0000000181,○
政令,昭和二十八年政令第二百四十二号,職業安定法施行令,しょくぎょうあんていほうしこうれい,,昭和二十八年八月三十一日,出入国管理及び難民認定法及び外国人の技能実習の適正な実施及び技能実習生の保護に関する法律の一部を改正する法律の施行に伴う関係政令の整備及び経過措置に関する政令,令和七年政令第三百四十一号,令和七年十月一日,令和九年四月一日,,328CO0000000242,https://laws.e-gov.go.jp/law/328CO0000000242/20270401_507CO0000000341,○
政令,昭和二十八年政令第四百十六号,奄美群島の復帰に伴う労働省関係法令の適用の暫定措置等に関する政令,あまみぐんとうのふっきにともなうろうどうしょうかんけいほうれいのてきようのざんていそちとうにかんするせいれい,,昭和二十八年十二月二十四日,,,昭和二十八年十二月二十四日,昭和二十八年十二月二十四日,,328CO0000000416,https://laws.e-gov.go.jp/law/328CO0000000416/19531224_000000000000000,
府省令,昭和二十九年労働省令第十三号,年少者労働基準規則,ねんしょうものろうどうきじゅんきそく,,昭和二十九年六月十九日,労働基準法施行規則等の一部を改正する省令,令和二年厚生労働省令第二百三号,令和二年十二月二十二日,令和三年四月一日,,329M50002000013,https://laws.e-gov.go.jp/law/329M50002000013/20210401_502M60000100203,
府省令,昭和三十年労働省令第二十二号,労働者災害補償保険法施行規則,ろうどうしゃさいがいほしょうほけんほうしこうきそく,,昭和三十年九月一日,社会保険審査官及び社会保険審査会法施行規則等の一部を改正する省令,令和八年厚生労働省令第八十八号,令和八年四月二十八日,令和八年五月二十一日,,330M50002000022,https://laws.e-gov.go.jp/law/330M50002000022/20260521_508M60000100088,
法律,昭和三十一年法律第百二十六号,労働保険審査官及び労働保険審査会法,ろうどうほけんしんさかんおよびろうどうほけんしんさかいほう,,昭和三十一年六月四日,民法等の一部を改正する法律の施行に伴う関係法律の整備等に関する法律,令和八年法律第四十六号,令和八年六月二十四日,令和八年六月二十四日,,331AC0000000126,https://laws.e-gov.go.jp/law/331AC0000000126/20260624_508AC0000000046,
法律,昭和三十一年法律第百二十六号,労働保険審査官及び労働保険審査会法,ろうどうほけんしんさかんおよびろうどうほけんしんさかいほう,,昭和三十一年六月四日,民法等の一部を改正する法律の施行に伴う関係法律の整備等に関する法律,令和八年法律第四十六号,令和八年六月二十四日,令和十年十二月二十三日,民法等の一部を改正する法律（令和八年法律第四十五号）の施行の日,331AC0000000126,https://laws.e-gov.go.jp/law/331AC0000000126/20281223_508AC0000000046,○
政令,昭和三十一年政令第二百四十八号,労働保険審査官及び労働保険審査会法施行令,ろうどうほけんしんさかんおよびろうどうほけんしんさかいほうしこうれい,,昭和三十一年七月二十七日,労働保険審査官及び労働保険審査会法施行令の一部を改正する政令,令和八年政令第九号,令和八年一月二十八日,令和八年五月二十一日,,331CO0000000248,https://laws.e-gov.go.jp/law/331CO0000000248/20260521_508CO0000000009,
政令,昭和三十一年政令第二百四十九号,行政執行法人の労働関係に関する法律施行令,ぎょうせいしっこうほうじんのろうどうかんけいにかんするほうりつしこうれい,,昭和三十一年七月二十七日,独立行政法人通則法の一部を改正する法律及び独立行政法人通則法の一部を改正する法律の施行に伴う関係法律の整備に関する法律の施行に伴う関係政令の整備等及び経過措置に関する政令　抄,平成二十七年政令第七十四号,平成二十七年三月十八日,平成二十七年四月一日,,331CO0000000249,https://laws.e-gov.go.jp/law/331CO0000000249/20150401_427CO0000000074,
府省令,昭和三十一年労働省令第十七号,労働保険審査官及び労働保険審査会法施行規則,ろうどうほけんしんさかんおよびろうどうほけんしんさかいほうしこうきそく,,昭和三十一年八月一日,社会保険審査官及び社会保険審査会法施行規則等の一部を改正する省令,令和八年厚生労働省令第八十八号,令和八年四月二十八日,令和八年五月二十一日,,331M50002000017,https://laws.e-gov.go.jp/law/331M50002000017/20260521_508M60000100088,
府省令,昭和三十二年労働省令第二十二号,労働基準法第七十六条第二項の規定による常時百人未満の労働者を使用する事業場に使用される労働者に対して行う休業補償の額の改訂及び改訂後の休業補償の額の改訂の方法の特例に関する省令,ろうどうきじゅんほうだいななじゅうろくじょうだいにこうのきていによるじょうじひゃくにんみまんのろうどうしゃをしようするじぎょうばにしようされるろうどうしゃにたいしておこなうきゅうぎょうほしょうのがくのかいていおよびかいていのちのきゅうぎょうほしょうのがくのかいていのほうほうのとくれいにかんするしょうれい,,昭和三十二年十二月二十六日,,平成十二年労働省令第四十一号,平成十二年十月三十一日,平成十三年一月六日,,332M50002000022,https://laws.e-gov.go.jp/law/332M50002000022/20010106_412M50002000041,
法律,昭和三十三年法律第百五十八号,駐留軍関係離職者等臨時措置法,ちゅうりゅうぐんかんけいりしょくしゃとうりんじそちほう,,昭和三十三年五月十七日,駐留軍関係離職者等臨時措置法及び国際協定の締結等に伴う漁業離職者に関する臨時措置法の一部を改正する法律,令和五年法律第八号,令和五年三月三十一日,令和五年三月三十一日,,333AC1000000158,https://laws.e-gov.go.jp/law/333AC1000000158/20230331_505AC0000000008,
政令,昭和三十三年政令第百三十一号,駐留軍関係離職者等臨時措置法施行令,ちゅうりゅうぐんかんけいりしょくしゃとうりんじそちほうせこうれい,,昭和三十三年五月十七日,,平成十九年政令第二百七十号,平成十九年八月二十日,平成十九年九月一日,,333CO0000000131,https://laws.e-gov.go.jp/law/333CO0000000131/20070901_419CO0000000270,
府省令,昭和三十三年総理府令第三十六号,駐留軍関係離職者等臨時措置法に基づく特別給付金の支給に関する省令,ちゅうりゅうぐんかんけいりしょくしゃとうりんじそちほうにもとづくとくべつきゅうふきんのしきゅうにかんするしょうれい,,昭和三十三年五月十七日,,平成十九年防衛省令第九号,平成十九年八月二十日,平成十九年九月一日,,333M50000002036,https://laws.e-gov.go.jp/law/333M50000002036/20070901_419M60002000009,
法律,昭和三十四年法律第百三十七号,最低賃金法,さいていちんぎんほう,,昭和三十四年四月十五日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,334AC0000000137,https://laws.e-gov.go.jp/law/334AC0000000137/20250601_504AC0000000068,
法律,昭和三十四年法律第百六十号,中小企業退職金共済法,ちゅうしょうきぎょうたいしょくきんきょうさいほう,,昭和三十四年五月九日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,334AC0000000160,https://laws.e-gov.go.jp/law/334AC0000000160/20250601_504AC0000000068,
政令,昭和三十四年政令第百六十三号,最低賃金審議会令,さいていちんぎんしんぎかいれい,,昭和三十四年五月四日,厚生労働省組織令の一部を改正する政令,平成二十八年政令第二百三十八号,平成二十八年六月十七日,平成二十八年六月二十一日,,334CO0000000163,https://laws.e-gov.go.jp/law/334CO0000000163/20160621_428CO0000000238,
府省令,昭和三十四年運輸省令第三十五号,船員の最低賃金に関する省令,せんいんのさいていちんぎんにかんするしょうれい,,昭和三十四年七月十日,,平成二十年国土交通省令第七十七号,平成二十年九月一日,平成二十年十月一日,,334M50000800035,https://laws.e-gov.go.jp/law/334M50000800035/20081001_420M60000800077,
府省令,昭和三十四年運輸省令第五十三号,船員に関する中小企業退職金共済法施行規則,せんいんにかんするちゅうしょうきぎょうたいしょくきんきょうさいほうせこうきそく,,昭和三十四年十二月十四日,,平成十五年国土交通省令第百九号,平成十五年十月一日,平成十五年十月一日,,334M50000800053,https://laws.e-gov.go.jp/law/334M50000800053/20031001_415M60000800109,
府省令,昭和三十四年労働省令第十六号,最低賃金法施行規則,さいていちんぎんほうしこうきそく,,昭和三十四年七月十日,デジタル社会の形成を図るための規制改革を推進するための厚生労働省関係省令の一部を改正する省令,令和五年厚生労働省令第百六十四号,令和五年十二月二十六日,令和六年三月三十一日,,334M50002000016,https://laws.e-gov.go.jp/law/334M50002000016/20240331_505M60000100164,
府省令,昭和三十四年労働省令第二十三号,中小企業退職金共済法施行規則,ちゅうしょうきぎょうたいしょくきんきょうさいほうしこうきそく,,昭和三十四年九月一日,中小企業退職金共済法施行規則の一部を改正する省令,令和五年厚生労働省令第百二十八号,令和五年十月二日,令和五年十二月一日,,334M50002000023,https://laws.e-gov.go.jp/law/334M50002000023/20231201_505M60000100128,
法律,昭和三十五年法律第三十号,じん肺法,じんぱいほう,,昭和三十五年三月三十一日,民法の一部を改正する法律の施行に伴う関係法律の整備等に関する法律,平成二十九年法律第四十五号,平成二十九年六月二日,令和二年四月一日,,335AC0000000030,https://laws.e-gov.go.jp/law/335AC0000000030/20200401_429AC0000000045,
法律,昭和三十五年法律第百二十三号,障害者の雇用の促進等に関する法律,しょうがいしゃのこようのそくしんとうにかんするほうりつ,,昭和三十五年七月二十五日,障害者の日常生活及び社会生活を総合的に支援するための法律等の一部を改正する法律,令和四年法律第百四号,令和四年十二月十六日,令和七年十月一日,,335AC0000000123,https://laws.e-gov.go.jp/law/335AC0000000123/20251001_504AC0000000104,
法律,昭和三十五年法律第百二十三号,障害者の雇用の促進等に関する法律,しょうがいしゃのこようのそくしんとうにかんするほうりつ,,昭和三十五年七月二十五日,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律等の一部を改正する法律,令和七年法律第六十三号,令和七年六月十一日,令和八年十月一日,,335AC0000000123,https://laws.e-gov.go.jp/law/335AC0000000123/20261001_507AC0000000063,○
政令,昭和三十五年政令第二百九十二号,障害者の雇用の促進等に関する法律施行令,しょうがいしゃのこようのそくしんとうにかんするほうりつしこうれい,,昭和三十五年十二月一日,独立行政法人男女共同参画機構法の施行に伴う関係政令の整備及び経過措置に関する政令,令和七年政令第三百九十五号,令和七年十一月二十八日,令和八年四月一日,,335CO0000000292,https://laws.e-gov.go.jp/law/335CO0000000292/20260401_507CO0000000395,
政令,昭和三十五年政令第二百九十二号,障害者の雇用の促進等に関する法律施行令,しょうがいしゃのこようのそくしんとうにかんするほうりつしこうれい,,昭和三十五年十二月一日,出入国管理及び難民認定法及び外国人の技能実習の適正な実施及び技能実習生の保護に関する法律の一部を改正する法律の施行に伴う関係政令の整備及び経過措置に関する政令,令和七年政令第三百四十一号,令和七年十月一日,令和九年四月一日,,335CO0000000292,https://laws.e-gov.go.jp/law/335CO0000000292/20270401_507CO0000000341,○
府省令,昭和三十五年労働省令第六号,じん肺法施行規則,じんぱいほうしこうきそく,,昭和三十五年三月三十一日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第三号,令和八年一月二十日,令和八年四月一日,,335M50002000006,https://laws.e-gov.go.jp/law/335M50002000006/20260401_508M60000100003,
府省令,昭和三十五年労働省令第六号,じん肺法施行規則,じんぱいほうしこうきそく,,昭和三十五年三月三十一日,労働安全衛生規則等の一部を改正する省令,令和八年厚生労働省令第八十九号,令和八年四月二十八日,令和九年四月一日,,335M50002000006,https://laws.e-gov.go.jp/law/335M50002000006/20270401_508M60000100089,○
法律,昭和三十九年法律第百十八号,労働災害防止団体法,ろうどうさいがいぼうしだんたいほう,,昭和三十九年六月二十九日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,339AC0000000118,https://laws.e-gov.go.jp/law/339AC0000000118/20250601_504AC0000000068,
政令,昭和三十九年政令第百八十八号,中小企業退職金共済法施行令,ちゅうしょうきぎょうたいしょくきんきょうさいほうしこうれい,,昭和三十九年六月十八日,中小企業退職金共済法施行令の一部を改正する政令,令和三年政令第百五十一号,令和三年五月六日,令和三年十月一日,,339CO0000000188,https://laws.e-gov.go.jp/law/339CO0000000188/20211001_503CO0000000151,
政令,昭和三十九年政令第百八十八号,中小企業退職金共済法施行令,ちゅうしょうきぎょうたいしょくきんきょうさいほうしこうれい,,昭和三十九年六月十八日,中小企業退職金共済法施行令の一部を改正する政令,令和八年政令第二百三十九号,令和八年七月二十九日,令和八年十月一日,,339CO0000000188,https://laws.e-gov.go.jp/law/339CO0000000188/20261001_508CO0000000239,○
府省令,昭和三十九年労働省令第十八号,激甚災害時における雇用保険法による求職者給付の支給の特例に関する省令,げきじんさいがいじにおけるこようほけんほうによるきゅうしょくしゃきゅうふのしきゅうのとくれいにかんするしょうれい,,昭和三十九年七月十一日,雇用保険法施行規則等の一部を改正する省令,令和四年厚生労働省令第百三十号,令和四年九月十五日,令和四年十月一日,,339M50002000018,https://laws.e-gov.go.jp/law/339M50002000018/20221001_504M60000100130,
府省令,昭和三十九年労働省令第十九号,労働災害防止団体法施行規則,ろうどうさいがいぼうしだんたいほうしこうきそく,,昭和三十九年七月三十一日,じん肺法施行規則等の一部を改正する省令,令和六年厚生労働省令第四十五号,令和六年三月十八日,令和七年一月一日,,339M50002000019,https://laws.e-gov.go.jp/law/339M50002000019/20250101_506M60000100045,
府省令,昭和三十九年通商産業省・労働省令第二号,鉱業に係る労働災害防止協会に関する省令,こうぎょうにかかるろうどうさいがいぼうしきょうかいにかんするしょうれい,,昭和三十九年九月三十日,鉱業に係る労働災害防止協会に関する省令の一部を改正する省令,平成三十年厚生労働省・経済産業省令第一号,平成三十年二月十六日,平成三十一年四月一日,,339M50002400002,https://laws.e-gov.go.jp/law/339M50002400002/20190401_430M60000500001,
政令,昭和四十年政令第二百七十七号,地方公営企業等の労働関係に関する法律施行令,ちほうこうえいきぎょうとうのろうどうかんけいにかんするほうりつしこうれい,,昭和四十年八月十二日,,平成二十年政令第二百三十一号,平成二十年七月十八日,平成二十年十月一日,,340CO0000000277,https://laws.e-gov.go.jp/law/340CO0000000277/20081001_420CO0000000231,
法律,昭和四十一年法律第百三十二号,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律,ろうどうしさくのそうごうてきなすいしんならびにろうどうしゃのこようのあんていおよびしょくぎょうせいかつのじゅうじつとうにかんするほうりつ,雇用対策法,昭和四十一年七月二十一日,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律等の一部を改正する法律,令和七年法律第六十三号,令和七年六月十一日,令和八年四月一日,,341AC0000000132,https://laws.e-gov.go.jp/law/341AC0000000132/20260401_507AC0000000063,
法律,昭和四十一年法律第百三十二号,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律,ろうどうしさくのそうごうてきなすいしんならびにろうどうしゃのこようのあんていおよびしょくぎょうせいかつのじゅうじつとうにかんするほうりつ,雇用対策法,昭和四十一年七月二十一日,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律等の一部を改正する法律,令和七年法律第六十三号,令和七年六月十一日,令和八年十月一日,,341AC0000000132,https://laws.e-gov.go.jp/law/341AC0000000132/20261001_507AC0000000063,○
政令,昭和四十一年政令第二百六十二号,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律施行令,ろうどうしさくのそうごうてきなすいしんならびにろうどうしゃのこようのあんていおよびしょくぎょうせいかつのじゅうじつとうにかんするほうりつしこうれい,雇用対策法施行令,昭和四十一年七月二十一日,沖縄振興特別措置法等の一部を改正する法律の施行に伴う関係政令の整備等及び経過措置に関する政令,令和四年政令第百六十七号,令和四年三月三十一日,令和四年四月一日,,341CO0000000262,https://laws.e-gov.go.jp/law/341CO0000000262/20220401_504CO0000000167,
府省令,昭和四十一年労働省令第二十三号,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律施行規則,ろうどうしさくのそうごうてきなすいしんならびにろうどうしゃのこようのあんていおよびしょくぎょうせいかつのじゅうじつとうにかんするほうりつしこうきそく,雇用対策法施行規則,昭和四十一年七月二十一日,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律施行規則の一部を改正する省令,令和八年厚生労働省令第九十五号,令和八年五月二十九日,令和八年六月十四日,,341M50002000023,https://laws.e-gov.go.jp/law/341M50002000023/20260614_508M60000100095,
府省令,昭和四十一年労働省令第二十三号,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律施行規則,ろうどうしさくのそうごうてきなすいしんならびにろうどうしゃのこようのあんていおよびしょくぎょうせいかつのじゅうじつとうにかんするほうりつしこうきそく,雇用対策法施行規則,昭和四十一年七月二十一日,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律等の一部を改正する法律の施行に伴う厚生労働省関係省令の整備に関する省令,令和八年厚生労働省令第十八号,令和八年二月二十六日,令和八年十月一日,,341M50002000023,https://laws.e-gov.go.jp/law/341M50002000023/20261001_508M60000100018,○
府省令,昭和四十一年労働省令第二十三号,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律施行規則,ろうどうしさくのそうごうてきなすいしんならびにろうどうしゃのこようのあんていおよびしょくぎょうせいかつのじゅうじつとうにかんするほうりつしこうきそく,雇用対策法施行規則,昭和四十一年七月二十一日,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律施行規則の一部を改正する省令,令和八年厚生労働省令第九十五号,令和八年五月二十九日,令和九年四月一日,,341M50002000023,https://laws.e-gov.go.jp/law/341M50002000023/20270401_508M60000100095,○
