法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行
府省令,昭和六十一年労働省令第二十号,労働者派遣事業の適正な運営の確保及び派遣労働者の保護等に関する法律施行規則,ろうどうしゃはけんじぎょうのてきせいなうんえいのかくほおよびはけんろうどうしゃのほごとうにかんするほうりつしこうきそく,,昭和六十一年四月十七日,じん肺法施行規則等の一部を改正する省令,令和六年厚生労働省令第四十五号,令和六年三月十八日,令和七年一月一日,,361M50002000020,https://laws.e-gov.go.jp/law/361M50002000020/20250101_506M60000100045,
府省令,昭和六十一年労働省令第二十号,労働者派遣事業の適正な運営の確保及び派遣労働者の保護等に関する法律施行規則,ろうどうしゃはけんじぎょうのてきせいなうんえいのかくほおよびはけんろうどうしゃのほごとうにかんするほうりつしこうきそく,,昭和六十一年四月十七日,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律等の一部を改正する法律の施行に伴う厚生労働省関係省令の整備に関する省令,令和八年厚生労働省令第十八号,令和八年二月二十六日,令和八年十月一日,,361M50002000020,https://laws.e-gov.go.jp/law/361M50002000020/20261001_508M60000100018,○
府省令,昭和六十一年労働省令第二十号,労働者派遣事業の適正な運営の確保及び派遣労働者の保護等に関する法律施行規則,ろうどうしゃはけんじぎょうのてきせいなうんえいのかくほおよびはけんろうどうしゃのほごとうにかんするほうりつしこうきそく,,昭和六十一年四月十七日,労働者派遣事業の適正な運営の確保及び派遣労働者の保護等に関する法律施行規則及び短時間労働者及び有期雇用労働者の雇用管理の改善等に関する法律施行規則の一部を改正する省令,令和八年厚生労働省令第八十七号,令和八年四月二十八日,令和八年十月一日,,361M50002000020,https://laws.e-gov.go.jp/law/361M50002000020/20261001_508M60000100087,○
府省令,昭和六十一年労働省令第二十号,労働者派遣事業の適正な運営の確保及び派遣労働者の保護等に関する法律施行規則,ろうどうしゃはけんじぎょうのてきせいなうんえいのかくほおよびはけんろうどうしゃのほごとうにかんするほうりつしこうきそく,,昭和六十一年四月十七日,労働安全衛生規則及び労働者派遣事業の適正な運営の確保及び派遣労働者の保護等に関する法律施行規則の一部を改正する省令,令和七年厚生労働省令第百二十号,令和七年十二月九日,令和九年一月一日,,361M50002000020,https://laws.e-gov.go.jp/law/361M50002000020/20270101_507M60000100120,○
府省令,昭和六十一年労働省令第二十号,労働者派遣事業の適正な運営の確保及び派遣労働者の保護等に関する法律施行規則,ろうどうしゃはけんじぎょうのてきせいなうんえいのかくほおよびはけんろうどうしゃのほごとうにかんするほうりつしこうきそく,,昭和六十一年四月十七日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第二十九号,令和八年三月二十三日,令和九年四月一日,,361M50002000020,https://laws.e-gov.go.jp/law/361M50002000020/20270401_508M60000100029,○
法律,昭和六十二年法律第二十三号,地域雇用開発促進法,ちいきこようかいはつそくしんほう,,昭和六十二年三月三十一日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,362AC0000000023,https://laws.e-gov.go.jp/law/362AC0000000023/20250601_504AC0000000068,
法律,昭和六十三年法律第四十号,港湾労働法,こうわんろうどうほう,,昭和六十三年五月十七日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,363AC0000000040,https://laws.e-gov.go.jp/law/363AC0000000040/20250601_504AC0000000068,
政令,昭和六十三年政令第三百三十五号,港湾労働法施行令,こうわんろうどうほうしこうれい,,昭和六十三年十二月十三日,雇用保険法等の一部を改正する法律の一部の施行に伴う関係政令の整備に関する政令,平成二十九年政令第百七十六号,平成二十九年六月三十日,平成三十年一月一日,,363CO0000000335,https://laws.e-gov.go.jp/law/363CO0000000335/20180101_429CO0000000176,
政令,昭和六十三年政令第三百三十五号,港湾労働法施行令,こうわんろうどうほうしこうれい,,昭和六十三年十二月十三日,出入国管理及び難民認定法及び外国人の技能実習の適正な実施及び技能実習生の保護に関する法律の一部を改正する法律の施行に伴う関係政令の整備及び経過措置に関する政令,令和七年政令第三百四十一号,令和七年十月一日,令和九年四月一日,,363CO0000000335,https://laws.e-gov.go.jp/law/363CO0000000335/20270401_507CO0000000341,○
府省令,昭和六十三年労働省令第三十五号,港湾労働法施行規則,こうわんろうどうほうせこうきそく,,昭和六十三年十二月十三日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第三号,令和八年一月二十日,令和八年四月一日,,363M50002000035,https://laws.e-gov.go.jp/law/363M50002000035/20260401_508M60000100003,
政令,平成二年政令第二百四十九号,船員の雇用の促進に関する特別措置法施行令,せんいんのこようのそくしんにかんするとくべつそちほうせこうれい,,平成二年八月十七日,,平成二十五年政令第十号,平成二十五年一月二十三日,平成二十五年三月一日,,402CO0000000249,https://laws.e-gov.go.jp/law/402CO0000000249/20130301_425CO0000000010,
府省令,平成二年厚生省令第四十八号,船員の雇用の促進に関する特別措置法第十四条第五項の規定等による未払賃金の立替払事業に係る船員の立替払賃金の請求の手続等に関する省令等の規定の適用に関する省令,せんいんのこようのそくしんにかんするとくべつそちほうだいじゅうよんじょうだいごこうのきていとうによるみばらいちんぎんのたてかえばらいじぎょうにかかるせんいんのたてかえばらいちんぎんのせいきゅうのてつづきとうにかんするしょうれいとうのきていのてきようにかんするしょうれい,,平成二年八月十七日,,平成二十一年厚生労働省令第百六十八号,平成二十一年十二月二十八日,平成二十二年一月一日,,402M50000100048,https://laws.e-gov.go.jp/law/402M50000100048/20100101_421M60000100168,
府省令,平成二年運輸省令第二十六号,船員の雇用の促進に関する特別措置法施行規則,せんいんのこようのそくしんにかんするとくべつそちほうせこうきそく,,平成二年八月十七日,成年被後見人等の権利の制限に係る措置の適正化等を図るための関係法律の整備に関する法律等の施行に伴う国土交通省関係省令の整備等に関する省令,令和元年国土交通省令第三十四号,令和元年九月十三日,令和元年九月十四日,,402M50000800026,https://laws.e-gov.go.jp/law/402M50000800026/20190914_501M60000800034,
府省令,平成二年厚生省・運輸省令第一号,船員の雇用の促進に関する特別措置法第十四条第五項の規定による船員に係る未払賃金の額の確認等に関する省令の規定の適用についての技術的読替えに関する省令,せんいんのこようのそくしんにかんするとくべつそちほうだいじゅうよんじょうだいごこうのきていによるせんいんにかかるみばらいちんぎんのがくのかくにんとうにかんするしょうれいのきていのてきようについてのぎじゅつてきよみかえにかんするしょうれい,,平成二年八月十七日,,,平成二年八月十七日,平成二年八月二十日,,402M50000900001,https://laws.e-gov.go.jp/law/402M50000900001/19900820_000000000000000,
法律,平成三年法律第五十七号,中小企業における労働力の確保及び良好な雇用の機会の創出のための雇用管理の改善の促進に関する法律,ちゅうしょうきぎょうにおけるろうどうりょくのかくほおよびりょうこうなこようのきかいのそうしゅつのためのこようかんりのかいぜんのそくしんにかんするほうりつ,,平成三年五月二日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,403AC0000000057,https://laws.e-gov.go.jp/law/403AC0000000057/20250601_504AC0000000068,
法律,平成三年法律第七十六号,育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律,いくじきゅうぎょうかいごきゅうぎょうとういくじまたはかぞくかいごをおこなうろうどうしゃのふくしにかんするほうりつ,,平成三年五月十五日,育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律及び次世代育成支援対策推進法の一部を改正する法律,令和六年法律第四十二号,令和六年五月三十一日,令和七年十月一日,,403AC0000000076,https://laws.e-gov.go.jp/law/403AC0000000076/20251001_506AC0000000042,
法律,平成三年法律第七十六号,育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律,いくじきゅうぎょうかいごきゅうぎょうとういくじまたはかぞくかいごをおこなうろうどうしゃのふくしにかんするほうりつ,,平成三年五月十五日,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律等の一部を改正する法律,令和七年法律第六十三号,令和七年六月十一日,令和八年十月一日,,403AC0000000076,https://laws.e-gov.go.jp/law/403AC0000000076/20261001_507AC0000000063,○
政令,平成三年政令第二百四十四号,中小企業における労働力の確保及び良好な雇用の機会の創出のための雇用管理の改善の促進に関する法律施行令,ちゅうしょうきぎょうにおけるろうどうりょくのかくほおよびりょうこうなこようのきかいのそうしゅつのためのこようかんりのかいぜんのそくしんにかんするほうりつしこうれい,,平成三年七月二十六日,中小企業信用保険法施行令等の一部を改正する政令,令和六年政令第三十二号,令和六年二月十六日,令和六年三月十五日,,403CO0000000244,https://laws.e-gov.go.jp/law/403CO0000000244/20240315_506CO0000000032,
府省令,平成三年運輸省令第三十六号,船員に関する育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律施行規則,せんいんにかんするいくじきゅうぎょうかいごきゅうぎょうとういくじまたはかぞくかいごをおこなうろうどうしゃのふくしにかんするほうりつしこうきそく,,平成三年十一月十五日,船員に関する育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律施行規則の一部を改正する省令,令和七年国土交通省令第九十三号,令和七年九月二十六日,令和七年十月一日,,403M50000800036,https://laws.e-gov.go.jp/law/403M50000800036/20251001_507M60000800093,
